1,快来个人起个好名字,哈尔滨工业大学,241,19,"+3
164",38,"+1
281",47,65,-2,2,77,32,123
2,费用报销真不错,哈尔滨工业大学,-,11,"+2
159",30,-,65,180,-5,4,48,21,104
3,雪原漫舞,哈尔滨工业大学,-,19,119,41,-,100,261,-,3,85,13,233
4,比赤色更红的梦,哈尔滨工业大学,-,18,"+1
270","+2
59",-,"+5
117",129,-,2,85,10,163
5,啊,哈尔滨工业大学,-,8,"+2
148","+1
65",-,"+1
77",242,-,9,"+3
112",19,200
6,不能究物理,哈尔滨工业大学,-,6,"+1
291","+2
67",-,92,214,-,3,148,26,193
7,我推的七海暴吃0721次罚时因为在原神启动,哈尔滨工程大学,"+1
256",37,-,"+1
66",-,140,169,-,4,110,16,"+1
278"
8,原来名字超过了二十字只能叫王老板爆杀了(,哈尔滨工程大学,-,10,"+9
298",58,-,"+2
193",233,-,3,59,20,209
9,欢迎报考齐齐哈尔大学！,齐齐哈尔大学,-1,8,"+2
217",32,-1,"+3
129",-1,-1,1,101,22,"+1
271"
10,收下吧NEAUACM，这是我最后的CCPC名额了,东北农业大学,-,6,204,"+1
45",-,"+6
156",-,-,3,71,16,"+1
249"
11,哈商大1队,哈尔滨商业大学,285,4,-2,"+3
51",-,"+1
87",-,-,5,103,14,-
12,别go了,哈尔滨工业大学,-,25,-8,63,-,"+1
132",-,-,7,56,"+1
31",292
13,哈理工2024S07,哈尔滨理工大学,-,24,-4,48,-,98,-,-,4,108,19,-
14,青春ACM少年做梦不会梦到纳西妲学姐,东北农业大学,-,15,-3,50,-,159,-,-,2,"+1
96",30,-
15,传奇zjcpc选手塔尖298min掀桌子过题粉丝团,哈尔滨工业大学,-,21,-5,"+1
86",-,"+1
163",-,-,5,111,39,-
16,拂晓晨辉,黑龙江大学,-,9,-,71,-,-15,258,-,3,102,24,-
17,哈理工2024S08,哈尔滨理工大学,-,6,-,"+1
67",-,-1,243,-,4,95,60,-
18,队里只有一只二刺猿所以起名还是问fufu吧¿,哈尔滨工程大学,-,"+1
16",-1,88,-1,-1,200,-1,2,105,"+1
62",-1
19,随风飘游于阳炎热浪,哈尔滨工程大学,-,55,-,62,-,246,-,-,3,113,46,-
20,哈三中2024T1,哈尔滨市第三中学校,-,48,-1,64,-,"+4
250",-,-,3,126,91,-
21,涐捫褦俖徊菿蓯偂，找徊傆萊の啈冨。,黑龙江大学,-,"+4
83",-,71,-,-,"+3
256",-,4,"+2
132","+3
47",-
22,8秒肘击英语24次,东北农业大学,-,32,-,"+2
124",-,"+6
294",-,-,5,"+2
167",62,-
23,脂肪酸找到冷笑话问流星雨要不要打XCPC,哈尔滨工程大学,-,9,-,40,-,-3,-,-,1,"+1
84",25,-
24,大庆实验中学1,大庆实验中学,-,"+1
26",-2,44,-,-2,-,-,13,81,11,-
25,在水一方,黑龙江大学,-1,20,-1,47,-2,-14,-1,-1,2,135,14,-1
26,AC治好了我的玉玉症,哈尔滨工业大学,-,17,-,"+2
64",-,-6,-3,-,3,112,13,-
27,打编程省赛，享悦己人生,哈尔滨工业大学,-,35,-7,75,-,-1,-,-,3,114,27,-
28,vp后烤肉会,哈尔滨工程大学,-16,14,-,"+1
66",-,-6,-,-,2,105,"+1
41",-
29,你的路径比较松弛,东北农业大学,-,13,-,"+2
79",-,-4,-,-,4,101,60,-
30,哈商大2队,哈尔滨商业大学,-,14,-,"+1
78",-,-,-,-,6,122,63,-
31,这次就没队名吧,东北林业大学,-,"+1
51",-,62,-,-2,-,-,3,"+1
105",46,-
32,今宵是飘逸的符号主义者,东北林业大学,-,26,-,"+2
53",-,-3,-,-,8,"+1
90",75,-
33,啊对对队,哈尔滨工业大学,-,"+1
23",-,70,-,-11,-,-,2,139,58,-
34,霸体螺旋丸,黑龙江大学,-,10,-,84,-,-,-,-,2,155,66,-
35,大庆实验中学2,大庆实验中学,-,31,-,80,-,-10,-,-,34,119,55,-
36,可能就会显得你的窗口比较大,东北农业大学,-,23,-,103,-,-12,-,-,11,153,63,-
